EOLI,RP_TPP,RT_TPP,AP_TPP,AT_TPP,RP_TPS,RT_TPS,AP_TPS,AT_TPS
1.22,1602.564103,217.5407454,1937.984496,356.2266761,3205.128205,435.0814908,1352.082207,1068.680028
1.23,1623.376623,218.183881,1945.525292,358.4465357,3246.753247,436.367762,1362.624718,1075.339607
1.24,1644.736842,218.8298729,1953.125,360.6872101,3289.473684,437.6597458,1373.291016,1082.06163
1.25,1666.666667,219.478738,1960.784314,362.9489603,3333.333333,438.957476,1384.083045,1088.846881
1.26,1689.189189,220.1304934,1968.503937,365.2320514,3378.378378,440.2609867,1395.00279,1095.696154
1.27,1712.328767,220.7851562,1976.284585,367.5367528,3424.657534,441.5703123,1406.052274,1102.610258
1.28,1736.111111,221.4427438,1984.126984,369.863338,3472.222222,442.8854875,1417.23356,1109.590014
1.29,1760.56338,222.1032736,1992.031873,372.212085,3521.126761,444.2065472,1428.548753,1116.636255
1.3,1785.714286,222.7667632,2000,374.5832761,3571.428571,445.5335264,1440,1123.749828
1.31,1811.594203,223.4332303,2008.032129,376.9771983,3623.188406,446.8664607,1451.58949,1130.931595
1.32,1838.235294,224.1026928,2016.129032,379.394143,3676.470588,448.2053856,1463.319459,1138.182429
1.33,1865.671642,224.7751686,2024.291498,381.8344063,3731.343284,449.5503373,1475.192185,1145.503219
1.34,1893.939394,225.4506759,2032.520325,384.2982893,3787.878788,450.9013518,1487.209994,1152.894868
1.35,1923.076923,226.1292329,2040.816327,386.7860976,3846.153846,452.2584657,1499.37526,1160.358293
1.36,1953.125,226.8108579,2049.180328,389.2981422,3906.25,453.6217158,1511.690406,1167.894426
1.37,1984.126984,227.4955695,2057.613169,391.8347387,3968.253968,454.991139,1524.157903,1175.504216
1.38,2016.129032,228.1833864,2066.115702,394.3962083,4032.258065,456.3667728,1536.780275,1183.188625
1.39,2049.180328,228.8743274,2074.688797,396.9828772,4098.360656,457.7486548,1549.560097,1190.948632
1.4,2083.333333,229.5684114,2083.333333,399.595077,4166.666667,459.1368228,1562.5,1198.785231
1.41,2118.644068,230.2656575,2092.050209,402.2331448,4237.288136,460.531315,1575.602668,1206.699434
1.42,2155.172414,230.9660849,2100.840336,404.8974233,4310.344828,461.9321699,1588.870842,1214.69227
1.43,2192.982456,231.6697131,2109.704641,407.5882609,4385.964912,463.3394262,1602.307323,1222.764783
1.44,2232.142857,232.3765616,2118.644068,410.3060117,4464.285714,464.7531231,1615.914967,1230.918035
1.45,2272.727273,233.08665,2127.659574,413.0510359,4545.454545,466.1732999,1629.696695,1239.153108
1.46,2314.814815,233.7999981,2136.752137,415.8236996,4629.62963,467.5999963,1643.65549,1247.471099
1.47,2358.490566,234.5166261,2145.922747,418.6243752,4716.981132,469.0332521,1657.794397,1255.873126
1.48,2403.846154,235.2365539,2155.172414,421.4534412,4807.692308,470.4731078,1672.116528,1264.360324
1.49,2450.980392,235.9598019,2164.502165,424.3112827,4901.960784,471.9196038,1686.625063,1272.933848
1.5,2500,236.6863905,2173.913043,427.1982912,5000,473.3727811,1701.323251,1281.594874
1.51,2551.020408,237.4163404,2183.406114,430.114865,5102.040816,474.8326808,1716.214412,1290.344595
1.52,2604.166667,238.1496723,2192.982456,433.0614093,5208.333333,476.2993446,1731.301939,1299.184228
1.53,2659.574468,238.8864071,2202.643172,436.0383359,5319.148936,477.7728142,1746.589299,1308.115008
1.54,2717.391304,239.626566,2212.389381,439.0460641,5434.782609,479.2531319,1762.080038,1317.138192
1.55,2777.777778,240.3701701,2222.222222,442.0850203,5555.555556,480.7403401,1777.777778,1326.255061
1.56,2840.909091,241.1172408,2232.142857,445.1556383,5681.818182,482.2344817,1793.686224,1335.466915
1.57,2906.976744,241.8677999,2242.152466,448.2583594,5813.953488,483.7355998,1809.809166,1344.775078
1.58,2976.190476,242.621869,2252.252252,451.3936327,5952.380952,485.2437379,1826.150475,1354.180898
1.59,3048.780488,243.37947,2262.443439,454.5619152,6097.560976,486.7589399,1842.714113,1363.685746
1.6,3125,244.140625,2272.727273,457.7636719,6250,488.28125,1859.504132,1373.291016
1.61,3205.128205,244.9053563,2283.105023,460.999376,6410.25641,489.8107127,1876.524676,1382.998128
