,0,1,2,3,4
97,-99.0299999999995,-929.9079583333278,-165.64309527971903,-473.715484374998,-413.4308154403518
98,-99.0199999999995,-929.7998333333277,-165.61814335664207,-473.67493749999795,-413.3965102029922
99,-99.0099999999995,-929.6916249999941,-165.5931722027959,-473.634359374998,-413.3621809899284
100,-98.99999999999949,-929.5833333333271,-165.5681818181804,-473.5937499999979,-413.32782780115963
101,-98.98999999999948,-929.4749583333281,-165.5431722027959,-473.5531093749979,-413.293450636686
102,-98.97999999999948,-929.3664999999947,-165.51814335664224,-473.5124374999979,-413.25904949650806
103,-98.96999999999947,-929.257958333328,-165.493095279719,-473.4717343749979,-413.2246243806257
104,-98.95999999999947,-929.1493333333277,-165.4680279720266,-473.4309999999979,-413.19017528903805
105,-98.94999999999946,-929.0406249999938,-165.442941433565,-473.3902343749979,-413.15570222174625
106,-98.93999999999946,-928.9318333333266,-165.41783566433404,-473.3494374999978,-413.12120517875024
107,-98.92999999999945,-928.8229583333265,-165.39271066433412,-473.30860937499773,-413.0866841600493
108,-98.91999999999945,-928.7139999999945,-165.36756643356523,-473.26774999999776,-413.05213916564327
109,-98.90999999999944,-928.6049583333274,-165.34240297202655,-473.22685937499773,-413.0175701955331
110,-98.89999999999944,-928.4958333333276,-165.31722027971892,-473.1859374999977,-412.9829772497183
111,-98.88999999999943,-928.3866249999936,-165.2920183566419,-473.14498437499765,-412.9483603281984
112,-98.87999999999943,-928.2773333333267,-165.26679720279571,-473.1039999999976,-412.91371943097414
113,-98.86999999999942,-928.1679583333265,-165.24155681818013,-473.06298437499765,-412.87905455804565
114,-98.85999999999942,-928.0584999999934,-165.2162972027956,-473.0219374999977,-412.84436570941244
115,-98.84999999999941,-927.9489583333261,-165.1910183566417,-472.98085937499764,-412.80965288507394
116,-98.8399999999994,-927.8393333333261,-165.1657202797186,-472.9397499999976,-412.7749160850316
117,-98.8299999999994,-927.729624999994,-165.14040297202658,-472.89860937499765,-412.74015530928443
118,-98.8199999999994,-927.6198333333269,-165.11506643356495,-472.85743749999756,-412.70537055783234
119,-98.80999999999939,-927.5099583333264,-165.08971066433415,-472.8162343749975,-412.67056183067587
120,-98.79999999999939,-927.3999999999932,-165.06433566433398,-472.77499999999753,-412.63572912781484
121,-98.78999999999938,-927.2899583333264,-165.03894143356484,-472.73373437499754,-412.6008724492492
122,-98.77999999999938,-927.179833333326,-165.01352797202634,-472.6924374999975,-412.56599179497846
123,-98.76999999999937,-927.0696249999922,-164.98809527971844,-472.6511093749974,-412.5310871650036
124,-98.75999999999937,-926.9593333333272,-164.962643356642,-472.6097499999974,-412.4961585593243
125,-98.74999999999936,-926.8489583333263,-164.93717220279555,-472.56835937499744,-412.4612059779402
126,-98.73999999999936,-926.7384999999928,-164.91168181818014,-472.52693749999736,-412.42622942085086
127,-98.72999999999935,-926.6279583333265,-164.8861722027956,-472.4854843749974,-412.39122888805764
128,-98.71999999999935,-926.517333333326,-164.86064335664162,-472.4439999999974,-412.35620437955976
129,-98.70999999999934,-926.4066249999927,-164.8350952797185,-472.4024843749973,-412.3211558953566
130,-98.69999999999933,-926.295833333325,-164.809527972026,-472.36093749999725,-412.2860834354495
131,-98.68999999999933,-926.1849583333255,-164.78394143356454,-472.31935937499725,-412.25098699983766
132,-98.67999999999932,-926.0739999999918,-164.75833566433369,-472.2777499999972,-412.2158665885211
133,-98.66999999999932,-925.9629583333259,-164.7327106643339,-472.2361093749972,-412.1807222014998
134,-98.65999999999931,-925.8518333333259,-164.70706643356473,-472.19443749999715,-412.1455538387741
135,-98.64999999999931,-925.7406249999923,-164.68140297202615,-472.15273437499707,-412.11036150034374
136,-98.6399999999993,-925.6293333333252,-164.65572027971842,-472.1109999999971,-412.0751451862083
137,-98.6299999999993,-925.5179583333255,-164.63001835664153,-472.0692343749971,-412.0399048963689
138,-98.6199999999993,-925.4064999999914,-164.60429720279527,-472.027437499997,-412.00464063082484
139,-98.60999999999929,-925.2949583333246,-164.5785568181798,-471.985609374997,-411.9693523895759
140,-98.59999999999928,-925.1833333333258,-164.5527972027954,-471.94374999999707,-411.9340401726223
141,-98.58999999999928,-925.071624999992,-164.5270183566416,-471.901859374997,-411.8987039799641
142,-98.57999999999927,-924.9598333333255,-164.50122027971844,-471.85993749999693,-411.8633438116017
143,-98.56999999999927,-924.8479583333254,-164.4754029720261,-471.8179843749969,-411.8279596675338
144,-98.55999999999926,-924.7359999999918,-164.4495664335646,-471.77599999999694,-411.79255154776206
145,-98.54999999999926,-924.6239583333248,-164.42371066433373,-471.73398437499685,-411.7571194522855
